method,recipe_name,fold,threshold,num_orderings,mean_f1,min_f1,max_f1,delta_f1,mean_pairwise_jaccard,exact_match_rate,flip_rate,num_zero_predicted_positive_orderings
entail_base,microwavefrenchtoast,2,1.0,10,0.6974358974358974,0.6666666666666666,0.7692307692307692,0.10256410256410253,0.9333333333333333,0.0,0.08333333333333333,0
entail_base,microwavemugpizza,1,1.0,10,0.8,0.8,0.8,0.0,1.0,0.0,0.0,0
entail_base,mugcake,4,1.0,10,0.6712643678160919,0.6666666666666665,0.689655172413793,0.02298850574712652,0.9492063492063493,0.0,0.09523809523809523,0
entail_base,panfriedtofu,3,1.0,10,0.7453749315818281,0.7142857142857143,0.7857142857142857,0.0714285714285714,0.9141025641025642,0.0,0.1,0
entail_base,pinwheels,0,1.0,9,0.8340736968187948,0.7878787878787877,0.8888888888888888,0.1010101010101011,0.932121459694989,0.0,0.15,0
entail_base,ramen,4,1.0,10,0.5397069597069597,0.46153846153846156,0.6153846153846153,0.15384615384615374,0.8556902356902357,0.0,0.1875,0
entail_base,sautedmushrooms,1,1.0,10,0.7199999999999999,0.7199999999999999,0.7199999999999999,0.0,1.0,0.0,0.0,0
entail_base,scrambledeggs,2,1.0,10,0.7990612002376708,0.7647058823529413,0.8484848484848485,0.08377896613190716,0.9014521151363256,0.0,0.20833333333333334,0
entail_base,spicedhotchocolate,3,1.0,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,0
entail_base,spicytunaavocadowraps,3,1.0,10,0.5945864661654136,0.5714285714285715,0.631578947368421,0.06015037593984951,0.9079901579901579,0.0,0.2222222222222222,0
entail_base,tomatochutney,2,1.0,10,0.6044965404965404,0.5714285714285714,0.6399999999999999,0.0685714285714285,0.8474523007856342,0.0,0.15,0
entail_base,tomatomozzarellasalad,1,1.0,10,0.7397058823529411,0.6666666666666666,0.8235294117647058,0.1568627450980392,0.8492063492063492,0.0,0.2,0
entail_base,zoodles,3,1.0,10,0.5631578947368421,0.5263157894736842,0.6,0.0736842105263158,0.9206349206349207,0.0,0.07142857142857142,0
