method,recipe_name,edge_violated,violation_effect_v,normalized_effect_v,exceeds_noise_v,correct_direction_v,violation_effect_u,normalized_effect_u,exceeds_noise_u,correct_direction_u
ares,sautedmushrooms,18->12,0.14429530501365662,0.40186919194310183,False,True,0.0,0.0,False,False
ares,sautedmushrooms,15->13,0.0,0.0,False,False,0.030201341956853867,0.2903225956626176,False,True
ares,sautedmushrooms,3->16,0.0,,False,False,-0.05704697594046593,0.30909089184250693,False,False
ares,sautedmushrooms,13->17,0.0,0.0,False,False,-0.13087248802185059,1.5600001278877316,True,False
ares,sautedmushrooms,12->19,0.026845641434192657,0.10126583096719696,False,True,0.23489933088421822,0.6542056533404316,False,True
ares,scrambledeggs,9->3,0.009708737954497337,0.04918032895159944,False,True,0.0,0.0,False,False
ares,scrambledeggs,5->8,0.0,0.0,False,False,-0.016181230545043945,0.07812500112413541,False,False
ares,scrambledeggs,21->9,0.0,0.0,False,False,0.07443366199731827,0.28048780419326913,False,True
ares,scrambledeggs,8->11,0.0,0.0,False,False,0.0,0.0,False,False
ares,scrambledeggs,18->13,-0.04207119904458523,0.18055557243146647,False,False,0.0,0.0,False,False
ares,scrambledeggs,15->14,-0.06472491845488548,0.12422359817684027,False,False,0.0,0.0,False,False
ares,scrambledeggs,13->15,0.0,0.0,False,False,-0.3042071405798197,1.305555716320812,True,False
ares,scrambledeggs,2->16,0.0,0.0,False,False,-0.019417475908994675,0.036144577728421924,False,False
ares,scrambledeggs,14->17,0.0,,False,False,-0.19093851372599602,0.36645962284392647,False,False
ares,scrambledeggs,16->22,0.02912621945142746,0.12328769010670712,False,True,0.0,0.0,False,False
ares,scrambledeggs,17->24,0.0,,False,False,0.0,,False,False
ares,spicedhotchocolate,3->1,0.0,,False,False,0.0,,False,False
ares,spicedhotchocolate,2->3,0.0,,False,False,0.0,,False,False
ares,spicedhotchocolate,7->5,0.015748031437397003,0.3333333333333333,False,True,-0.04724409803748131,1.2000000378489477,True,False
ares,spicedhotchocolate,1->9,0.0,,False,False,0.0,,False,False
ares,spicedhotchocolate,6->7,-0.035433072596788406,0.9000000047311185,False,False,0.0,0.0,False,False
ares,spicytunaavocadowraps,17->1,0.678644023835659,0.8411763896736619,False,True,0.1288137435913086,0.4222227996513804,False,True
ares,spicytunaavocadowraps,8->6,-0.1932203471660614,0.3986014334259145,False,False,0.0,0.0,False,False
ares,spicytunaavocadowraps,10->7,0.01694915071129799,0.09803920850352499,False,True,0.35932207107543945,1.5362321942875956,True,True
ares,spicytunaavocadowraps,2->8,0.0,0.0,False,False,0.0,0.0,False,False
ares,spicytunaavocadowraps,4->10,0.6406779736280441,2.7391307367025113,True,True,0.1152542233467102,0.6181812543518806,False,True
