dataset,method,recipe_name,ordering_index,node_id,position,score
captaincookrecipes,sager,broccolistirfry,0,11,14,0.7060703039169312
captaincookrecipes,sager,broccolistirfry,0,2,15,0.7667731642723083
captaincookrecipes,sager,broccolistirfry,0,17,16,0.00958466436713934
captaincookrecipes,sager,broccolistirfry,0,16,17,0.4792332649230957
captaincookrecipes,sager,broccolistirfry,0,9,18,0.0
captaincookrecipes,sager,broccolistirfry,0,4,19,0.00958466436713934
captaincookrecipes,sager,broccolistirfry,0,12,20,0.0
captaincookrecipes,sager,broccolistirfry,0,25,21,0.5878593921661377
captaincookrecipes,sager,broccolistirfry,0,23,22,0.0
captaincookrecipes,sager,broccolistirfry,0,7,23,0.6166134476661682
captaincookrecipes,sager,broccolistirfry,0,15,24,0.5335463285446167
captaincookrecipes,sager,broccolistirfry,0,26,25,0.0702875405550003
captaincookrecipes,sager,broccolistirfry,1,20,0,0.43769967555999756
captaincookrecipes,sager,broccolistirfry,1,22,1,0.00638977624475956
captaincookrecipes,sager,broccolistirfry,1,14,2,0.4504792094230652
captaincookrecipes,sager,broccolistirfry,1,1,3,0.3865814805030823
captaincookrecipes,sager,broccolistirfry,1,5,4,0.0
captaincookrecipes,sager,broccolistirfry,1,21,5,0.07348243147134781
captaincookrecipes,sager,broccolistirfry,1,24,6,0.022364217787981033
captaincookrecipes,sager,broccolistirfry,1,18,7,0.0
captaincookrecipes,sager,broccolistirfry,1,19,8,0.0
captaincookrecipes,sager,broccolistirfry,1,8,9,0.0
captaincookrecipes,sager,broccolistirfry,1,13,10,0.7699680328369141
captaincookrecipes,sager,broccolistirfry,1,3,11,0.00319488812237978
captaincookrecipes,sager,broccolistirfry,1,6,12,0.07667731493711472
captaincookrecipes,sager,broccolistirfry,1,10,13,0.8178913593292236
captaincookrecipes,sager,broccolistirfry,1,11,14,0.6581469178199768
captaincookrecipes,sager,broccolistirfry,1,2,15,0.7124601006507874
captaincookrecipes,sager,broccolistirfry,1,17,16,0.00319488812237978
captaincookrecipes,sager,broccolistirfry,1,9,17,0.0
captaincookrecipes,sager,broccolistirfry,1,16,18,0.49520769715309143
captaincookrecipes,sager,broccolistirfry,1,4,19,0.0
captaincookrecipes,sager,broccolistirfry,1,12,20,0.0
captaincookrecipes,sager,broccolistirfry,1,25,21,0.7571884989738464
captaincookrecipes,sager,broccolistirfry,1,23,22,0.0
captaincookrecipes,sager,broccolistirfry,1,7,23,0.7987220287322998
captaincookrecipes,sager,broccolistirfry,1,15,24,0.6645367741584778
captaincookrecipes,sager,broccolistirfry,1,26,25,0.0
captaincookrecipes,sager,broccolistirfry,2,21,0,0.028753992170095444
captaincookrecipes,sager,broccolistirfry,2,5,1,0.0
captaincookrecipes,sager,broccolistirfry,2,3,2,0.022364217787981033
captaincookrecipes,sager,broccolistirfry,2,20,3,0.3961661159992218
captaincookrecipes,sager,broccolistirfry,2,1,4,0.4824281334877014
captaincookrecipes,sager,broccolistirfry,2,22,5,0.022364215925335884
captaincookrecipes,sager,broccolistirfry,2,24,6,0.0
captaincookrecipes,sager,broccolistirfry,2,10,7,0.6805112361907959
captaincookrecipes,sager,broccolistirfry,2,19,8,0.00638977624475956
captaincookrecipes,sager,broccolistirfry,2,14,9,0.49520766735076904
captaincookrecipes,sager,broccolistirfry,2,18,10,0.0
captaincookrecipes,sager,broccolistirfry,2,8,11,0.0
captaincookrecipes,sager,broccolistirfry,2,13,12,0.5399361252784729
captaincookrecipes,sager,broccolistirfry,2,6,13,0.08306708931922913
captaincookrecipes,sager,broccolistirfry,2,11,14,0.5271565318107605
captaincookrecipes,sager,broccolistirfry,2,2,15,0.6741213798522949
captaincookrecipes,sager,broccolistirfry,2,17,16,0.022364217787981033
captaincookrecipes,sager,broccolistirfry,2,16,17,0.4121406078338623
captaincookrecipes,sager,broccolistirfry,2,9,18,0.00319488812237978
captaincookrecipes,sager,broccolistirfry,2,4,19,0.00319488812237978
captaincookrecipes,sager,broccolistirfry,2,12,20,0.0
captaincookrecipes,sager,broccolistirfry,2,25,21,0.8402554988861084
captaincookrecipes,sager,broccolistirfry,2,23,22,0.0
captaincookrecipes,sager,broccolistirfry,2,7,23,0.4664536416530609
captaincookrecipes,sager,broccolistirfry,2,15,24,0.5079872012138367
captaincookrecipes,sager,broccolistirfry,2,26,25,0.09265175461769104
captaincookrecipes,sager,broccolistirfry,3,5,0,0.0
captaincookrecipes,sager,broccolistirfry,3,18,1,0.0
captaincookrecipes,sager,broccolistirfry,3,8,2,0.0
captaincookrecipes,sager,broccolistirfry,3,21,3,0.01916932687163353
captaincookrecipes,sager,broccolistirfry,3,24,4,0.0
captaincookrecipes,sager,broccolistirfry,3,22,5,0.0
captaincookrecipes,sager,broccolistirfry,3,1,6,0.402555912733078
captaincookrecipes,sager,broccolistirfry,3,10,7,0.8626198172569275
captaincookrecipes,sager,broccolistirfry,3,3,8,0.04472843557596207
captaincookrecipes,sager,broccolistirfry,3,13,9,0.6325878500938416
